entity_name,entity_type,country,aum_usd,contact_count,transaction_count,completeness_score,red_flags
Carleton University,Endowment,United States,1939359000,1,0,0.2567,no_transactions_or_rfps
Five Colleges,Endowment,United States,37135646,1,0,0.2567,no_transactions_or_rfps
Mercy College,Endowment,United States,626665016,1,0,0.2567,no_transactions_or_rfps
Clarke University,Endowment,United States,75835703,1,0,0.2548,no_transactions_or_rfps
Keck Graduate Institute of Applied Life Sciences,Endowment,United States,121856519,1,0,0.2548,no_transactions_or_rfps
Loyola University of Chicago,Endowment,United States,2422434000,1,0,0.2548,no_transactions_or_rfps
McDaniel College,Endowment,United States,236481387,1,0,0.2548,no_transactions_or_rfps
Nevada System of Higher Education,Endowment,United States,4139051000,1,0,0.2548,no_transactions_or_rfps
Saudi Central Bank,Central Bank,Saudi Arabia,490654000000,1,0,0.2548,no_transactions_or_rfps
Carroll College,Endowment,United States,120754869,1,0,0.2529,no_transactions_or_rfps
Davidson College,Endowment,United States,1807791719,1,0,0.2529,no_transactions_or_rfps
Harvey Mudd College,Endowment,United States,620812431,1,0,0.2529,no_transactions_or_rfps
Holy Names University,Endowment,United States,93790592,1,0,0.2529,no_transactions_or_rfps
Long Island University,Endowment,United States,871358980,1,0,0.2529,no_transactions_or_rfps
Morningside College,Endowment,United States,147946360,1,0,0.2529,no_transactions_or_rfps
Northern Arizona University,Endowment,United States,285389624,1,0,0.2529,no_transactions_or_rfps
Swiss National Bank,Central Bank,Switzerland,1037145564215,1,0,0.2529,no_transactions_or_rfps
Innovation Norway,Development Bank,Norway,2743839271,1,0,0.2529,no_transactions_or_rfps
National Development Bank of Papua New Guinea,Development Bank,Papua New Guinea,194379799,1,0,0.2529,no_transactions_or_rfps
Malta Government Investments,Sovereign Wealth Fund,Malta,17353860046,1,0,0.2510,no_transactions_or_rfps
Church Commissioners for England,Endowment,United Kingdom,13624294000,1,0,0.2510,no_transactions_or_rfps
High Point University,Endowment,United States,1058111000,1,0,0.2510,no_transactions_or_rfps
Lake Forest College,Endowment,United States,244551905,1,0,0.2510,no_transactions_or_rfps
Lyon College,Endowment,United States,114547057,1,0,0.2510,no_transactions_or_rfps
Development Bank of Namibia,Development Bank,Namibia,3080973817,1,0,0.2510,no_transactions_or_rfps
Clarkson University,Endowment,United States,450628637,1,0,0.2490,no_transactions_or_rfps
Doane University,Endowment,United States,193560720,1,0,0.2490,no_transactions_or_rfps
Knox College,Endowment,United States,266274982,1,0,0.2490,no_transactions_or_rfps
Meadville Lombard Theological School,Endowment,United States,31570214,1,0,0.2490,no_transactions_or_rfps
Middle Tennessee State University,Endowment,United States,728401823.7,1,0,0.2490,no_transactions_or_rfps
Moody Bible Institute of Chicago,Endowment,United States,517402862,1,0,0.2490,no_transactions_or_rfps
Ohio Dominican University,Endowment,United States,77838919,1,0,0.2490,no_transactions_or_rfps
Instituto de Credito Oficial,Development Bank,Spain,31814308396,1,0,0.2490,no_transactions_or_rfps
Hillsborough Community College Foundation,Endowment,United States,29037973,1,0,0.2477,no_transactions_or_rfps
Baylor College of Medicine,Endowment,United States,2788399000,1,0,0.2471,no_transactions_or_rfps
Framingham State University,Endowment,United States,332129437,1,0,0.2471,no_transactions_or_rfps
Garrett-Evangelical Theological Seminary,Endowment,United States,130934542,1,0,0.2471,no_transactions_or_rfps
Inter American University of Puerto Rico,Endowment,Puerto Rico,741153164,1,0,0.2471,no_transactions_or_rfps
Iowa State University & Foundation,Endowment,United States,1875022805,1,0,0.2471,no_transactions_or_rfps
